num,within,status,confident,soft_top
437844,True,unresolved,unresolved,ordinary_chondrite
438429,True,unresolved,unresolved,aubrite
438902,True,unresolved,unresolved,CR
438955,True,unresolved,unresolved,ordinary_chondrite
441987,True,unresolved,unresolved,EH
442037,True,unresolved,unresolved,EH
442243,True,degenerate,degenerate,CI
443103,True,unresolved,unresolved,CM
444584,True,unresolved,unresolved,ordinary_chondrite
446833,False,unresolved,unresolved,ureilite
448003,True,unresolved,unresolved,ordinary_chondrite
450160,True,unresolved,unresolved,CR
450648,True,unresolved,unresolved,ordinary_chondrite
450649,True,degenerate,degenerate,CO
452389,True,unresolved,unresolved,ureilite
453778,True,unresolved,unresolved,ordinary_chondrite
454100,False,unresolved,unresolved,CM
454177,True,ok,howardite,howardite
455148,True,unresolved,unresolved,ureilite
457260,True,unresolved,unresolved,ordinary_chondrite
457768,True,unresolved,unresolved,ordinary_chondrite
458198,True,unresolved,unresolved,ordinary_chondrite
465616,True,unresolved,unresolved,CR
465749,True,degenerate,degenerate,CI
467963,True,unresolved,unresolved,ordinary_chondrite
468583,True,unresolved,unresolved,CR
469737,True,unresolved,unresolved,ordinary_chondrite
470510,True,unresolved,unresolved,CR
471241,True,unresolved,unresolved,EH
474179,True,unresolved,unresolved,ordinary_chondrite
475665,True,unresolved,unresolved,CM
477885,True,unresolved,unresolved,CR
480004,False,degenerate,degenerate,mesosiderite
481394,True,unresolved,unresolved,ordinary_chondrite
484795,True,degenerate,degenerate,pallasite
485652,True,unresolved,unresolved,CM
488645,True,unresolved,unresolved,lunar-meteorite
489486,True,degenerate,degenerate,CI
492143,True,unresolved,unresolved,CM
495615,True,degenerate,degenerate,CK
496005,True,unresolved,unresolved,ordinary_chondrite
496816,True,degenerate,degenerate,R
496817,True,degenerate,degenerate,CK
496818,True,unresolved,unresolved,brachinite
498066,True,unresolved,unresolved,lunar-meteorite
505657,True,degenerate,degenerate,CO
506459,True,degenerate,degenerate,CI
511684,True,unresolved,unresolved,eucrite
512245,True,degenerate,degenerate,CK
515767,True,degenerate,degenerate,CO
518735,True,unresolved,unresolved,EL
523586,True,degenerate,degenerate,CI
523631,True,unresolved,unresolved,aubrite
523667,True,degenerate,degenerate,pallasite
523788,True,unresolved,unresolved,ordinary_chondrite
523811,True,unresolved,unresolved,EH
523817,True,unresolved,unresolved,lunar-meteorite
525477,True,degenerate,degenerate,pallasite
526238,True,degenerate,degenerate,CI
527715,True,unresolved,unresolved,CR
528650,True,degenerate,degenerate,CO
531060,True,unresolved,unresolved,CR
